Number,Date,Truck,Length,Route,Ref,Price,BAF,Voucher,INVOICE
1,09.02.2012,AB 06 CBG  ,16.5,CA - DO,CA19317174           ,145,13.56,141891,246.00 €
2,09.02.2012,AB 06 CBG  ,16.5,DO - CA,DO22859499           ,145,13.56,141892,246.00 €
3,09.02.2012,AB 07 POB ,6,CA - DO,CA19317259           ,80,13.56,141895,246.00 €
4,09.02.2012,AB 07 POB        ,6,DO - CA,DO22859609           ,80,13.56,141896,246.00 €
5,10.02.2012,MH78HAM,6,DO - CA,DO22864131,80,13.56,141951,246.00 €
6,10.02.2012,B 172 ALI ,6,DO - CA,DO22865502,80,13.56,141952,246.00 €
7,15.02.2012,B 110 LUM ,6,CA - DO,CA19326425,0,0,,
8,19.02.2012,IF 08 TDs,16.5,CA - DO,CA19333598,145,13.56,141953,314.00 €
9,20.02.2012,SB 30 GEP,16.5,CA - DO,CA19334964,145,13.56,141954,314.00 €
10,20.02.2012,SB 30 GEP,16.5,DO - CA,DO22885564,145,13.56,141955,314.00 €
11,21.02.2012,IF 08 TDs,16.5,DO - CA,DO22888522,145,13.56,141956,314.00 €
12,23.02.2012,AB 07 RKG,16.5,CA - DO,CA19340934,145,13.56,141957,314.00 €
13,24.02.2012,MS33COT,16.5,CA - DO,CA19344458,145,13.56,141958,314.00 €
14,24.02.2012,MH 78 HAM ,6,DO - CA,DO22899180,85,13.56,141959,314.00 €
15,27.02.2012,IF 11 TDS,16.5,CA - DO,CA19346774,145,13.56,141960,314.00 €
16,27.02.2012,AB 07 RKG,16.5,DO - CA,DO22905348,145,13.56,141961,314.00 €
17,29.02.2012,AG 15 VLX,16.5,CA - DO, CA19351856,145,13.56,141962,444.00 €
18,29.02.2012,AG 15 VLX,16.5,DO - CA, DO22910101,145,13.56,141963,444.00 €
19,01.03.2011,IF 11 TDS,16.5,DO - CA,DO22913414,145,13.56,141964,444.00 €
20,02.03.2012,MH78HAM,6,DO - CA,DO22917581,80,15,141965,444.00 €
21,07.03.2012,NT 08 UAH ,16.5,CA - DO,CA19363916,145,15,141966,444.00 €
22,07.03.2012,NT 08 UAH ,16.5,DO - CA,DO22927195,145,15,141967,444.00 €
23,07.03.2012,MS33COT,16.5,DO - CA,DO22927405,145,15,141968,444.00 €
24,07.03.2012,IF 08 TDS,16.5,CA - DO,CA19358483,145,15,,444.00 €
25,07.03.2012,IF 08 TDS,16.5,DO - CA,DO22928625,145,15,141969,444.00 €
26,08.03.2012,B 974 ELT,6,CA - DO,CA19366204,80,15,141970,444.00 €
27,08.03.2012,B 974 ELT,6,DO - CA,DO22930337,80,15,141971,444.00 €
28,09.03.2012,HD 10 RRV,16.5,CA - DO,CA19367589     ,145,15,141972,444.00 €
29,09.03.2012,HD 10 RRV,16.5,DO - CA, DO22932547    ,145,15,141973,444.00 €
30,09.03.2012,SJ 04 BCA,16.5,CA - DO,CA19368095,145,15,141974,444.00 €
31,09.03.2012,SJ 04 BCA,16.5,DO - CA,DO22933127,145,15,141975,444.00 €
32,09.03.2012,B 17 UPD,6,CA - DO,CA19370315,80,15,141976,444.00 €
33,09.03.2012,B 17 UPD,6,DO - CA,DO22936411,80,15,141977,514.00 €
34,12.03.2012,IF 11 TDS,16.5,CA - DO,CA19372481,145,15,141978,444.00 €
35,12.03.2012,IF 11 TDS,16.5,DO - CA,DO22944497,145,15,141979,514.00 €
36,14.03.2012,AB 20 BTZ,6,DO - CA,DO22947144,80,15,141980,444.00 €
37,19.03.2012,SB 30 GEP,16.5,CA - DO,CA19385652,145,15,141981,514.00 €
38,19.03.2012,SB 30 GEP,16.5,DO - CA,DO22957807,145,15,141982,514.00 €
39,19.03.2012,IF 08 TDs,16.5,CA - DO,CA19385664,145,15,141983,514.00 €
40,19.03.2012,IF 08 TDs,16.5,DO - CA,      DO22965371           ,145,15,141984,514.00 €
41,23.03.2012,VL 01 FOX,6,DO - CA,DO22972411,80,15,141985,514.00 €
42,23.03.2012,VL 02 FOX,6,DO - CA,DO22972412,80,15,141986,514.00 €
43,24.03.2012,B-87-TDX,16,CA - DO, CA19396211,145,15,141987,514.00 €
44,24.03.2012,B-87-TDX,16,DO - CA,,145,15,141988,
45,26.03.2012,IF 11 TDS,16,CA - DO,CA19398813,145,15,141989,514.00 €
46,26.03.2012,IF 11 TDS,16,DO - CA, DO22983979,145,15,141990,514.00 €
47,30.03.2012,NT 08 UAH,16,CA - DO,CA19407055,145,15,141991,663.00 €
48,30.03.2012,NT 08 UAH,16,DO - CA,DO22988448,145,15,141992,663.00 €
49,30.03.2012,BC 05 UVS,16,CA - DO,CA19407067,145,15,141993,514.00 €
50,02.04.2012,IF 08 TDs,16,CA - DO,CA19411011,145,15,141994,663.00 €
51,01.04.2012,IS 38 GIA,6,CA - DO,  CA19410956,80,15,141995,663.00 €
52,02.04.2012,CJ 42 RZV,16,CA - DO,CA19413500,145,17.4,141996,663.00 €
53,04.04.2012,B 94 WNX,6,DO - CA,DO23000646,80,17.4,141997,663.00 €
54,04.04.2012,B 152 FOX,6,CA - DO,CA19415896,80,17.4,141998,663.00 €
55,04.04.2012,SM 39 FLY,6,CA - DO,CA19416221,80,17.4,141999,663.00 €
56,04.04.2012,VL 10 DGT ,6,DO - CA,DO23001822,80,17.4,142000,663.00 €
57,04.04.2012,IF 08 TDS,16,DO - CA,DO23001834,145,17.4,147351,663.00 €
58,05.04.2012,IS 38 GIA        ,16,DO - CA,DO23002553,145,17.4,147352,663.00 €
59,05.04.2012,BC05UVS,16,DO - CA,DO23003661,145,17.4,147353,663.00 €
60,06.04.2012,CJ 42 RZV,16,DO - CA,DO23006793,145,17.4,147354,663.00 €
61,10.04.2012,IF 11 TDS,16,CA - DO,CA19422110,145,17.4,147355,663.00 €
62,10.04.2012,MS33COT,16,CA - DO,CA19422443,145,17.4,147356,663.00 €
63,10.04.2012,SM 39 FLY,6,DO - CA,DO23012730,80,17.4,147357,663.00 €
64,12.04.2012,IF 11 TDS,16,DO - CA,DO23017665,145,17.4,147358,663.00 €
65,12.04.2012,B-82-EYH,16,DO - CA,DO23018400,145,17.4,147359,663.00 €
66,12.04.2012,CJ-13-NSZ,16,DO - CA,DO23018402,145,17.4,147360,663.00 €
67,13.04.2012,B-86-CSZ,16,CA - DO,CA19429377,145,17.4,147361,663.00 €
68,13.04.2012,B-06-YIJ,16,CA - DO,CA19429388,145,17.4,147362,663.00 €
69,13.04.2012,B-82-EYI,16,DO - CA,DO23021201,145,17.4,147363,663.00 €
70,13.04.2012,CJ 98 CNT ,16,DO - CA,DO23023670,145,17.4,147364,663.00 €
71,13.04.2012,IF 05 TDS,16,CA - DO,CA19431486,145,17.4,147365,663.00 €
72,16.04.2012,IF 08 TDS,16,CA - DO,CA19433404,145,17.4,147366,663.00 €
73,16.04.2012,B-86-CSZ,16,DO - CA,DO23027736,145,17.4,147367,663.00 €
74,16.04.2012,B-06-YIJ,16,DO - CA,DO23027741,145,17.4,147368,663.00 €
75,17.04.2012,CJ 32 CNT,16,CA - DO,CA19434811,145,17.4,147369,663.00 €
76,17.04.2012,CJ 40 CNT,16,CA - DO,CA19434824,145,17.4,147370,663.00 €
77,17.04.2012,CJ-13-NSZ ,16,CA - DO,CA19435473,145,17.4,147371,663.00 €
78,17.04.2012,VL 01 FOX,6,CA - DO,CA19435823,80,17.4,147372,663.00 €
79,17.04.2012,VL 02 FOX,6,CA - DO,CA19435824,80,17.4,147373,663.00 €
80,18.04.2012,SB 30 GEP,16.5,CA - DO,CA19437708,145,17.4,147374,663.00 €
81,18.04.2012,NT 08 UAH ,16.5,CA - DO,CA19438049,145,17.4,147375,663.00 €
82,18.04.2012,NT 08 UAH ,16.5,DO - CA,DO23033159,145,17.4,147376,663.00 €
83,18.04.2012,IF 08 TDs,16,DO - CA,DO23033183,145,17.4,147377,663.00 €
84,19.04.2012,CJ-13-NSZ,16,DO - CA,DO23034653,145,17.4,147378,663.00 €
85,19.04.2012,VL 01 FOX,6,DO - CA,DO23035544,80,17.4,147379,663.00 €
86,19.04.2012,B 06 YIJ,16,CA - DO,CA19440239,145,17.4,147380,663.00 €
87,19.04.2012,SB 92 GEP ,16,CA - DO,CA19441405,145,17.4,147381,663.00 €
88,19.04.2012,CJ 32 CNT,16,DO - CA,DO23039286,145,17.4,147382,663.00 €
89,19.04.2012,CJ 40 CNT,16,DO - CA,DO23039288,145,17.4,147383,663.00 €
90,19.04.2012,IF 05 TDS,16,DO - CA,DO23040115,145,17.4,147384,663.00 €
91,22.04.2012,VL 09 FOX,6,CA - DO,CA19443985,80,17.4,147385,663.00 €
92,22.04.2012,B 86 CTG ,16,CA - DO,CA19444340,145,17.4,147386,663.00 €
93,23.04.2012,IF  11 TDS,16,CA - DO,CA19445319     ,145,17.4,147387,663.00 €
94,23.04.2012,SB 30 GEP,16,DO - CA,DO 23044063,145,17.4,147388,663.00 €
95,23.04.2012,B 06 YIJ,16,DO - CA,DO23044115,145,17.4,147389,663.00 €
96,24.04.2012,CJ98CNT,16,CA - DO,CA19446995,145,17.4,147390,663.00 €
97,24.04.2012,B-86-CTG,16,DO - CA,DO23046974,145,17.4,147391,663.00 €
98,24.04.2012,CJ-13-NSZ,16,CA - DO,CA19447730,145,17.4,147392,663.00 €
99,24.04.2012,VL 02 FOX,6,CA - DO,CA19447898,80,17.4,147393,663.00 €
100,24.04.2012,SB 92 GEP ,16,DO - CA,DO23047373,145,17.4,147394,663.00 €
101,25.04.2012,CJ-14-DCY,16,CA - DO,CA19450256,145,17.4,147395,663.00 €
102,26.04.2012,CJ13-NSZ,16,DO - CA,DO23053159,145,17.4,147396,663.00 €
103,26.04.2012,CJ-12-NSW,16,CA - DO,CA19452349,145,17.4,147397,663.00 €
104,27.04.2012,CJ-14-DCY,16,DO - CA,DO23055192,145,17.4,147398,663.00 €
105,27.04.2012,SB 33 FLY   ,6,CA - DO,CA19451221           ,80,17.4,Tel ,663.00 €
106,27.04.2012,IF 11 TDS,17,DO - CA,DO23051837,145,17.4,Tel ,663.00 €
107,27.04.2012,CJ 74 CNT,16,CA - DO,CA19454099,145,17.4,147399,663.00 €
108,30.04.2012,IF 08 TDS,16,CA - DO,CA 1947495,145,17.4,147399,663.00 €
109,30.04.2012,SB 33 FLY,6,DO - CA,DO 23060592,80,17.4,147400,663.00 €
110,30.04.2012,CJ14LNK,16.5,CA - DO,CA19459761,145,17.2,163058,766.00 €
111,30.04.2012,CJ13NSW,16,DO - CA, DO23062697,145,17.4,163059,663.00 €
112,30.04.2012,CJ 14 DCY ,16,CA - DO,CA 19459101,145,17.2,163060,766.00 €
113,02.05.2012,B90YEI,16,CA - DO,CA19461370,145,17.2,163021,766.00 €
114,02.05.2012,CJ14LNK,16,DO - CA,DO23067481           ,145,17.2,163022,766.00 €
115,03.05.2012,IF 08 TDS,16,DO - CA,DO23068547,145,17.2,163023,766.00 €
116,03.05.2012,B 91 XLM ,6,DO - CA,DO23069174,80,17.2,163024,766.00 €
117,04.05.2012,CJ-14-DCY,16,DO - CA,DO23070875,145,17.2,163025,766.00 €
118,03.05.2012,B 222 WXT,16,CA - DO,CA19465611,145,17.2,163026,766.00 €
119,01.05.2012,CJ 35 SXH,16,CA - DO,CA19456038           ,145,17.2,165800,766.00 €
120,03.05.2012,CJ 35 SXH,16,DO - CA,DO23072657,145,17.2,163027,766.00 €
121,07.05.2012,CJ32CNT,16,CA - DO, CA19467472,145,17.2,163028,766.00 €
122,07.05.2012,CJ14LNK,16.5,CA - DO, CA19467868,145,17.2,163029,766.00 €
123,07.05.2012,IF 11 TDS,16.5,CA - DO,CA19468024,145,17.2,163030,766.00 €
124,07.05.2012,IF 07 TDS ,16,CA - DO,CA19466705,145,17.2,163057,766.00 €
125,08.05.2012,SM 14 FLY,6,CA - DO,CA19470445,80,17.2,163031,766.00 €
126,08.05.2012,CJ14LNK,16.5,DO - CA,DO23079575,145,17.2,163032,766.00 €
127,08.05.2012,B 86 CTG,16,CA - DO,CA19470759`,145,17.2,163033,766.00 €
128,09.05.2012,B 90 YEI,16,DO - CA,DO23081056,145,17.2,163034,766.00 €
129,10.05.2012,IF 11 TDS,16,DO - CA,DO23083471,145,17.2,163035,766.00 €
130,10.05.2012,SM 14 FLY,6,DO - CA,DO23084082,80,17.2,163036,766.00 €
131,10.05.2012,B 86 CTG,16,DO - CA, DO23085791,145,17.2,163037,766.00 €
132,11.05.2012,CJ 13 NSV,16,CA - DO,CA19475827,145,17.2,163038,766.00 €
133,11.05.2012,SM 39 FLY,6,CA - DO,CA19476770,85,17.2,163039,766.00 €
134,11.05.2012,IF 07 TDS ,16,DO - CA,DO23089006,145,17.2,163040,766.00 €
135,11.05.2012,CJ 32 CNT - canceled ,16,DO - CA,DO23089017,0,0,0,
136,14.05.2012 ,SM 39 FLY,6,DO - CA,DO23094282,85,17.2,163041,766.00 €
137,14.05.2012 ,CJ-13-NSV,16,DO - CA,DO23094319,145,17.2,163042,766.00 €
138,14.05.2012 ,IF08TDS,16,CA - DO,CA19480983,145,17.2,163056,766.00 €
139,15.05.2012,CJ-13-NSW ,16,CA - DO,CA19482211,145,17.2,163043,882.00 €
140,15.05.2012,CJ 74 CNT,16,CA - DO,CA19483100,145,17.2,163044,882.00 €
141,14.05.2012,CJ 13 NSW,16,DO - CA,DO23101351,145,17.2,163045,882.00 €
142,17.05.2012,CJ 35 SXH,16,CA - DO,CA19485985,145,17.2,163046,882.00 €
143,17.05.2012,IF 08 TDS,16,DO - CA,DO23102913,145,17.2,163055,882.00 €
144,18.05.2012,B 101 WXT ,16,CA - DO,CA19488683,145,17.2,163047,882.00 €
145,18.05.2012,CJ 35 SXH,16,DO - CA,DO23105448,145,17.2,163048,882.00 €
146,19.05.2012,CJ-14-DCY,16,CA - DO,CA19489687,145,17.2,163049,882.00 €
147,21.05.2012,SM 14 FLY,6,CA - DO,CA19491058,80,17.2,163050,882.00 €
148,21.05.2012,SB 91 GEP ,16,CA - DO,CA19491275,145,17.2,163051,882.00 €
149,21.05.2012,SB 91 GEP ,16,DO - CA,DO23109469,145,17.2,163052,882.00 €
150,21.05.2012,IF 11 TDS,16,CA - DO,CA19491476,145,17.2,163053,882.00 €
151,01.06.2012,B 06 PKL,16.5,DO - CA,DO23139954,145,17.2,163054,983.00 €
152,21.05.2012,CJ 02 CNT,16,DO - CA,DO23107222,145,17.2,163181,882.00 €
153,22.05.2012,CJ 13 NSW,16,CA - DO, CA19492913,145,17.2,163182,882.00 €
154,22.05.2012,CJ 14 DCY,16,DO - CA,DO23111938,145,17.2,163183,882.00 €
155,22.05.2012,B 90 YEI,16,CA - DO,CA19493227,145,17.2,163184,882.00 €
156,22.05.2012,B 33 NYW,16,CA - DO, CA19493232,145,17.2,163185,882.00 €
157,22.05.2012,SM 07 BLV,6,CA - DO, CA19493871,80,17.2,163186,882.00 €
158,23.05.2012,CJ 13 NSV,16,CA - DO,CA19495173,145,17.2,163187,882.00 €
159,23.05.2012,IF 11 TDS,16,DO - CA, DO23115548,145,17.2,163188,882.00 €
160,25.05.2012,CJ 32 CNT,16,CA - DO,CA19497804           ,145,17.2,163189,882.00 €
161,25.05.2012,CJ-13-NSW,16,DO - CA,DO23120602,145,17.2,163190,882.00 €
162,25.05.2012,CJ 13 NSV,16,DO - CA,DO23120609,145,17.2,163191,882.00 €
163,25.05.2012,CJ 32 CNT,16,DO - CA,DO23122721,145,17.2,163192,983.00 €
164,24.05.2012,CJ10JLK,16,CA - DO,CA19496800,145,17.4,163240,
165,25.05.2012,CJ 10 JLK,16,DO - CA,DO23122880,145,17.4,163193,882.00 €
166,27.05.2012,B 152 FOX,6,CA - DO,CA19502696,80,17.4,163194,882.00 €
167,31.05.2012,IF 05 TDS,16,CA - DO,CA19509458,145,17.4,163195,983.00 €
168,31.05.2012,B-86-CTG,16,DO - CA,DO23134883,145,17.4,163196,983.00 €
169,01.06.2012,VL 08 MSY,16,CA - DO,CA19510714,145,17.4,163197,983.00 €
170,01.06.2012,CJ 35 SXH,16,DO - CA,DO23137642,145,17.4,163198,983.00 €
171,04.06.2012,IF 11 TDS,16,CA - DO,CA19513820,145,17.4,163199,983.00 €
172,28.05.2012,IF 08 TDS,16,CA - DO,CA19503537,145,17.4,163200,882.00 €
173,30.05.2012,CJ 35 SXH,16,CA - DO,CA19506735,145,17.4,163201,882.00 €
174,30.05.2012,SB 31 GEP,16,CA - DO,CA19506827,145,17.4,163202,983.00 €
175,30.05.2012,SB 31 GEP,16,DO - CA,DO23131614,145,17.4,163203,983.00 €
176,30.05.2012,B-86-CTG,16,CA - DO,CA19506935,145,17.4,163204,882.00 €
177,30.05.2012,IF 08 TDS,16,DO - CA,DO23132692,145,17.4,163205,983.00 €
178,30.05.2012,B06PKL,16,CA - DO,CA19507946,145,17.4,163206,882.00 €
179,30.05.2012,B 152 FOX,6,DO - CA,DO23132848,80,17.4,163207,882.00 €
180,08.06.2012,CJ 40 CNT,16,DO - CA,DO23154326,145,16.3,163208,983.00 €
181,08.06.2012,CJ 02 CNT,16,DO - CA,DO23154350,145,16.3,163209,983.00 €
182,08.06.2012,CJ 13 NSV,16,DO - CA,DO23154799,145,16.3,163210,983.00 €
183,11.06.2012,IF 08 TDS,16,CA - DO,CA19526777,145,16.3,163211,983.00 €
184,11.06.2012,B 86 CTG,16,DO - CA,DO23159640,145,16.3,163212,983.00 €
185,11.06.2012,CJ 14 LNK,16,CA - DO,CA19526863,145,16.3,163213,983.00 €
187,13.06.2012,CJ-10-JLK,16,CA - DO,CA19529850,145,16.3,163215,983.00 €
188,13.06.2012,CJ-13-NSV,16,CA - DO,CA19529860,145,16.3,163216,983.00 €
189,13.06.2012,IF 08 TDS,16,DO - CA,DO23165819,145,16.3,163217,983.00 €
190,14.06.2012,CJ-14-LNK,16,DO - CA,DO23167919,145,16.3,163218,983.00 €
191,14.06.2012,CJ-13-NSV,16,DO - CA,DO23167928,145,16.3,163219,983.00 €
192,14.06.2012,CJ-10-JLK,16,DO - CA,DO23167932,145,16.3,163220,"1,085.00 €"
193,06.06.2012`,CJ 40 CNT,16,CA - DO,CA19517599,145,16.3,163221,983.00 €
194,06.06.2012,IF 11 TDS,16,DO - CA,DO23146882,145,16.3,163222,983.00 €
195,06.06.2012,IF 05 TDS,16,DO - CA,DO23146884,145,16.3,163223,983.00 €
196,07.06.2012,CJ-13-NSV,16,CA - DO,CA19520041,145,16.3,163224,983.00 €
197,07.06.2012,B-86-CTG,16,CA - DO,CA19520276,145,16.3,163225,983.00 €
198,15.06.2012,CJ 35 SXH,16,DO - CA, DO23171326,145,16.3,163226,"1,085.00 €"
199,18.06.2012,IF 11 TDS,16,CA - DO,CA19538287,145,16.3,163227,"1,085.00 €"
200,18.06.2012,B-06-PKL,16,CA - DO,CA19538847           ,145,16.3,163228,"1,085.00 €"
201,19.06.2012,SB 31 GEP,16,CA - DO,CA19540575,145,16.3,163229,"1,085.00 €"
202,19.06.2012,SB 31 GEP,16,DO - CA,DO23179143,145,16.3,163230,"1,085.00 €"
203,19.06.2012,CJ-10-JLK,16,CA - DO,CA19541090,145,16.3,163231,"1,085.00 €"
204,19.06.2012,CJ 74 CNT,16,CA - DO,CA19541646,145,16.3,163232,"1,085.00 €"
205,19.06.2012,CJ 98 CNT ,16,CA - DO, CA19541648,145,16.3,163233,"1,085.00 €"
206,20.06.2012,B-06-PKL,16,DO - CA,DO23182254,145,16.3,163234,"1,085.00 €"
207,20.06.2012,B86-CSZ,16,CA - DO,CA19542897,145,16.3,163235,"1,085.00 €"
208,20.06.2012,IF 11 TDS,16,DO - CA,DO23183377,145,16.3,163236,"1,085.00 €"
209,21.06.2012,CJ 10 JLK,16,DO - CA,DO23185548,145,16.3,163237,"1,085.00 €"
210,22.06.2012,CJ 98 CNT ,16,DO - CA,DO23187766,145,16.3,163238,"1,085.00 €"
211,24.05.2012,CJ 10 JLK,16,CA - DO,CA19496800,145,16.3,163239,882.00 €
212,22.06.2012,B-86-CSZ,16,DO - CA,DO23187969,145,16.3,171701,"1,085.00 €"
213,22.06.2012,B 22 JAV,6,DO - CA,DO23188996,80,16.3,171702,"1,085.00 €"
214,22.06.2012,CJ 74 CNT,16,DO - CA,DO23189722,145,16.3,171703,"1,085.00 €"
215,25.06.2012,IF 08 TDS,16,CA - DO,CA19550796,145,16.3,171704,"1,085.00 €"
216,26.06.2012,CJ-14-FWH,16,CA - DO, CA19552497,145,16.3,171705,"1,085.00 €"
217,26.06.2012,CJ 35 SXH,16.5,CA - DO,CA19553169,145,16.3,171706,"1,085.00 €"
218,26.06.2012,CJ 40 CNT,16.5,CA - DO,CA19553170,145,16.3,171707,"1,085.00 €"
219,27.06.2012,CJ 14 LNK,16,CA - DO,CA19555978,145,16.3,171708,"1,085.00 €"
220,27.06.2012,CJ-14-FWH,16,DO - CA,DO23200820,145,16.3,171709,"1,085.00 €"
221,28.06.2012,IF 08 TDS,16,DO - CA,DO23202044,145,16.3,171710,"1,085.00 €"
222,29.06.2012,CJ-14-LNK,16,DO - CA,DO23205588,145,16.3,171711,"1,085.00 €"
223,29.06.2012,CJ 40 CNT,16,DO - CA,DO23206806,145,16.3,171712,"1,085.00 €"
224,30.06.2012,CJ14DCY,16,CA - DO,CA19562065,145,16.3,171713,"1,187.00 €"
225,02.07.2012,IF 11 TDS,16,CA - DO,CA19563586,145,13.5,171714,"1,187.00 €"
226,03.07.2012,CJ-14-DCY,16,DO - CA, DO23214636,145,13.5,171715,"1,187.00 €"
227,03.07.2012,CJ74CNT,16,CA - DO,CA19565770,145,13.5,171716,"1,187.00 €"
228,03.07.2012,CJ-14-FWH,16,CA - DO,CA19566636,145,13.5,171717,"1,187.00 €"
229,03.07.2012,IF 11 TDS,16,DO - CA,DO23218446,145,13.5,171718,"1,187.00 €"
230,04.07.2012,B-06-PKL,16,CA - DO,CA19569194,145,13.5,171719,"1,187.00 €"
231,05.07.2012,CJ 14 FWH,16,DO - CA, DO23221339,145,13.5,171720,"1,187.00 €"
232,06.07.2012,B-06-PKL,16,DO - CA,DO23224763,145,13.5,171721,"1,187.00 €"
233,06.07.2012,B 86 CTG ,16,CA - DO,CA19573071,145,13.5,171722,"1,187.00 €"
234,06.07.2012,B-79-DBS,16,CA - DO,CA19573072,145,13.5,171723,"1,187.00 €"
235,06.07.2012,CJ 74 CNT,16,DO - CA,DO23225883,145,13.5,171724,"1,187.00 €"
236,09.07.2012,IF 08 TDS,16,CA - DO, CA19575698,145,13.5,171725,"1,187.00 €"
237,09.07.2012,B-79-DBS/ B-30-EOR ,16,DO - CA,DO23230434,145,13.5,171726,"1,187.00 €"
238,09.07.2012,B86-CTG/ B-06-DWE,16,DO - CA,DO23230435,145,13.5,171727,"1,187.00 €"
239,09.07.2012,CJ-10-JLK/ ,16,CA - DO,CA19576817           ,145,13.5,171728,"1,187.00 €"
240,09.07.2012,CJ 35 CNT ,16,CA - DO,CA19576854,145,13.5,171729,"1,187.00 €"
241,10.07.2012,CJ 35 SXH,16,CA - DO, CA19577814,145,13.5,171730,"1,187.00 €"
242,11.07.2012,CJ 22 CNT,16,DO - CA, DO23235854,145,13.5,171731,"1,187.00 €"
243,11.07.2012,IF 08 TDS,16,DO - CA, DO23236841,145,13.5,171732,"1,187.00 €"
244,12.07.2012,B-93-DWK,16,CA - DO,CA19583280,145,13.5,171733,"1,187.00 €"
245,16.07.2012,B93DWK/ PTU9 5W,16,DO - CA,DO23247306,145,13.5,171734,"1,268.00 €"
246,14.07.2012,VL 76 BCR ,6,CA - DO,CA19586816,80,13.5,171796,"1,187.00 €"
247,14.07.2012,CJ 10 JLK,16,CA - DO,CA19586818,145,13.5,171797,"1,268.00 €"
248,13.07.2012,CJ 35 SXH ,16,DO - CA,DO23242643,145,13.5,171798,"1,187.00 €"
249,13.07.2012,CJ 35 CNT ,16,DO - CA,DO23242644,145,13.5,171799,"1,187.00 €"
250,13.07.2012,CJ 98 CNT ,16,DO - CA,DO23242645,145,13.5,171800,"1,187.00 €"
251,16.07.2012,IF 11 TDS,16,CA - DO,CA19588482,145,13.5,171735,"1,268.00 €"
252,16.07.2012,SB 91 GEP ,16,CA - DO,CA19588539,145,13.5,171736,"1,268.00 €"
253,16.07.2012,SB 91 GEP ,16,DO - CA,DO23247519,145,13.5,171737,"1,268.00 €"
254,17.07.2012,CJ-10-JLK,16,DO - CA,DO23251430,145,13.5,171738,"1,268.00 €"
255,17.07.2012,B-86-CTG,16,CA - DO,CA19591377,145,13.5,171739,"1,268.00 €"
256,17.07.2012,CJ 40 CNT,16,CA - DO,CA19591539,145,13.5,171740,"1,268.00 €"
257,18.07.2012,CJ 02 CNT,16,CA - DO,CA19592205,145,13.5,171741,"1,268.00 €"
258,18.07.2012,IF 11 TDS,16,DO - CA,DO23254050,145,13.5,171742,"1,268.00 €"
259,19.07.2012,B-86-CTG,16,DO - CA,DO23255940,145,13.5,171743,"1,268.00 €"
260,20.07.2012,VL 03 MTM,6,DO - CA,DO23258079,80,13.5,171744,"1,268.00 €"
261,20.07.2012,B 28 HXW  ,6,CA - DO,CA19596846,80,13.5,171745,"1,268.00 €"
262,20.07.2012,B-06-YIJ,16,CA - DO,CA19596921,145,13.5,171746,"1,268.00 €"
263,20.07.2012,CJ 40CNT,16,DO - CA,DO23259793,145,13.5,171747,"1,268.00 €"
264,20.07.2012,CJ 02 CNT,16,DO - CA,DO23259800,145,13.5,171748,"1,268.00 €"
265,22.07.2012,IF 08 TDS,16,CA - DO,CA19599012,145,13.5,171749,"1,268.00 €"
266,23.07.2012,CJ 35 SXH,16,CA - DO,CA19599709,145,13.5,171750,"1,268.00 €"
267,23.07.2012,CJ98CNT,16,CA - DO,CA19599710,145,13.5,171751,"1,268.00 €"
268,23.07.2012,B-06-YIJ/ B-89-UGN,16,DO - CA, DO23264978,145,13.5,171752,"1,268.00 €"
269,24.07.2012,B-86-CTG/ B-06-DWE ,16,CA - DO,CA19601708,145,13.5,171753,"1,268.00 €"
270,24.07.2012,IF 08 TDS,16,DO - CA,DO23268905,145,13.5,171754,"1,268.00 €"
271,26.07.2012,B-86-CTG/ B-06- Dwe,16,DO - CA, DO23273631,145,13.5,171755,"1,268.00 €"
272,26.07.2012,CJ-10-JLI,16,CA - DO,CA19606952,145,13.5,171756,"1,268.00 €"
273,27.07.2012,CJ 35 CNT ,16,DO - CA,DO23276421,145,13.5,171757,"1,268.00 €"
274,30.07.2012,IF 11 TDS,16,CA-DO,CA19611279,145,13.5,171758,"1,268.00 €"
275,30.07.2012,CJ 10 JLI,16,DO - CA,DO23282020,145,13.5,171759,"1,268.00 €"
276,31.07.2012,B-93-DWM,16,CA- DO,  CA19612869,145,13.5,171760,"1,387.00 €"
277,31.07.2012,CJ-14-DCY ,16,CA-DO,CA19613296,145,13.5,171761,"1,387.00 €"
278,31.07.2012,CJ 40 CNT,16,CA - DO,CA19613704           ,145,13.5,171762,"1,387.00 €"
279,31.07.2012,ÇJ 02 CNT,16,CA - DO,CA19613705           ,145,13.5,171763,"1,387.00 €"
280,31.07.2012,IF 11 TDS,16,DO - CA,DO23284136,145,13.5,171764,"1,387.00 €"
281,01.08.2012,B-93-DWM,16,DO - CA,DO23286520,145,11.95,171765,"1,387.00 €"
282,02.08.2012,CJ14-DCY,16,DO - CA,DO23288807,145,11.95,171766,"1,387.00 €"
283,03.08.2012,CJ 40 CNT,16,DO - CA,  DO23293137,145,11.95,171767,"1,387.00 €"
284,03.08.2012,CJ98CNT,16,CA - DO,  CA19620225,145,11.95,171768,"1,387.00 €"
285,05.08.2012,IF 08 TDS,16,CA - DO,CA19620988,145,11.95,171769,"1,387.00 €"
286,06.08.2012,CJ 10 JLK,16,DO -CA,DO23237391           ,145,13.45,71864,"1,387.00 €"
287,06.08.2012,CJ 35 SXH ,16.5,CA - DO,CA19622519,145,11.95,171770,"1,387.00 €"
