Number,Date,Truck,Length,Route,Ref,Price,BAF,Voucher,INVOICE
1653,03.03.2014,B-45-YZE,16.5,CA - DO,CA20462707,135,14,263959,443.00 €
1654,03.03.2014,B-45-YZE,16.5,DO -CA,DO24500056,135,14,263960,443.00 €
1655,03.03.2014,B 111 TGT,16.5,CA -  DO,CA20463108,135,14,263961,443.00 €
1656,03.03.2014,B 111 TGT,16.5,DO  -  CA,DO24500577,135,14,263962,443.00 €
1657,03.03.2014,B-47-DJX,16.5,CA -  DO,CA20463225,135,14,263963,443.00 €
1658,03.03.2014,B-47-DJX,16.5,DO  -  CA,DO24500720,135,14,263964,443.00 €
1659,03.03.2014,AR 15 AYR,16.5,DO - CA,DO24501045,135,14,263965,443.00 €
1660,03.03.2014,BH 35 VER ,14,CA - DO,CA20463546,135,14,263966,443.00 €
1661,03.03.2014,BH 35 VER ,14,DO - CA,DO24501148,135,14,263967,443.00 €
1662,03.03.2014,  P-2666-BM,16.5,DO - CA,DO24501161,135,14,263968,443.00 €
1663,"04,03,2014",CJ 43 CNT,16.5,CA -DO,CA20464624,135,14,263969,443.00 €
1664,"04,03,2014",CJ 49 CNT,16.5,CA  -DO,CA20464625,135,14,263970,443.00 €
1665,04.03.2014,NT-16-MAN,16.5,CA  -DO,CA20464922,135,14,263971,443.00 €
1666,04.03.2014,NT-16-MAN,16.5,DO - CA,DO24503169,135,14,263972,443.00 €
1667,04.03.2014,NT-95-DAF,16.5,CA  -DO,CA20464974,135,14,263973,443.00 €
1668,04.03.2014,NT-95-DAF,16.5,DO - CA,DO24503233,135,14,263974,443.00 €
1669,04.03.2014,B-44-SFP,16.5,CA  -DO,CA20465097,135,14,263975,443.00 €
1670,04.03.2014,B-44-SFP,16.5,DO - CA,DO24503392,135,14,263976,443.00 €
1671,"04,03,2014",B 53 JDJ,6,CA -DO,CA20465853,80,14,263977,443.00 €
1672,"05,03,2014",B42UUD,6,DO -CA,DO24505568,80,14,263978,443.00 €
1673,05.03.2014,B-31-FUB,16.5,CA -DO,CA20466747,135,14,263979,443.00 €
